image,label
/content/flair_fnau/output/train_dataset/train/images/tile_0046.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0046.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0089.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0089.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0061.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0061.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0133.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0133.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0079.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0079.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0106.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0106.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0091.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0091.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0041.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0041.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0058.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0058.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0090.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0090.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0048.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0048.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0088.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0088.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0115.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0115.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0057.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0057.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0075.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0075.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0032.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0032.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0129.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0129.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0059.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0059.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0063.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0063.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0113.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0113.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0037.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0037.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0029.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0029.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0109.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0109.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0121.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0121.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0001.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0001.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0052.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0052.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0021.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0021.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0002.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0002.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0023.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0023.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0105.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0105.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0101.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0101.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0118.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0118.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0087.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0087.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0127.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0127.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0074.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0074.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0086.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0086.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0082.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0082.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0124.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0124.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0135.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0135.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0020.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0020.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0060.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0060.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0071.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0071.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0108.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0108.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0014.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0014.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0092.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0092.tif
/content/flair_fnau/output/train_dataset/train/images/tile_0104.tif,/content/flair_fnau/output/train_dataset/train/labels/tile_0104.tif
